labels,torsion_primes
249.a.249.1,"{2, 7}"
249.a.6723.1,"{2, 7}"
277.a.277.1,"{3, 5}"
277.a.277.2,{5}
295.a.295.1,"{2, 7}"
295.a.295.2,{2}
349.a.349.1,{13}
353.a.353.1,{11}
388.a.776.1,"{3, 7}"
389.a.389.1,"{2, 5}"
389.a.389.2,"{2, 5}"
394.a.394.1,"{2, 5}"
394.a.3152.1,"{2, 5}"
427.a.2989.1,"{2, 7}"
461.a.461.1,{7}
461.a.461.2,{}
464.a.464.1,{2}
464.a.29696.1,{2}
464.a.29696.2,{2}
472.a.944.1,{2}
472.a.60416.1,{2}
523.a.523.1,"{2, 5}"
523.a.523.2,{2}
555.a.8325.1,"{2, 5}"
574.a.293888.1,"{2, 5}"
587.a.587.1,{}
597.a.597.1,{7}
603.a.603.1,"{2, 5}"
603.a.603.2,"{2, 5}"
604.a.9664.1,{}
604.a.9664.2,{3}
644.b.14812.1,"{2, 5}"
688.a.2752.1,"{2, 5}"
688.a.704512.2,"{2, 5}"
688.a.704512.1,"{2, 5}"
691.a.691.1,{2}
704.a.45056.1,"{2, 3}"
708.a.2832.1,"{2, 5}"
708.a.19116.1,"{2, 5}"
708.a.181248.1,{2}
709.a.709.1,{2}
713.a.713.1,{}
713.b.713.1,{3}
731.a.12427.1,"{2, 5}"
741.a.28899.1,{2}
743.a.743.1,{}
745.a.745.1,{3}
762.a.3048.1,"{2, 3}"
762.a.82296.1,"{2, 3}"
763.a.763.1,"{2, 5}"
768.a.1536.1,"{2, 3}"
768.a.4608.1,"{2, 3}"
797.a.797.1,{7}
807.a.2421.1,{2}
816.a.13872.1,"{2, 3}"
816.a.39168.1,"{2, 3}"
826.a.11564.1,"{2, 3}"
830.a.6640.1,{2}
830.a.830000.1,{2}
832.a.832.1,{2}
834.a.1668.1,{2}
847.c.9317.1,{2}
856.a.1712.1,"{2, 3}"
862.a.862.1,{2}
862.a.6896.1,{2}
862.b.862.1,{3}
886.a.3544.1,"{3, 5}"
893.a.893.1,{}
909.a.909.1,{2}
909.a.8181.1,{2}
925.a.925.1,{2}
925.a.23125.1,{2}
932.a.3728.1,{}
953.a.953.1,{}
966.a.834624.1,"{2, 3}"
970.a.1940.1,"{2, 5}"
971.a.971.1,{}
975.a.63375.1,"{2, 3}"
976.a.999424.1,{29}
997.a.997.1,{2}
997.a.997.2,{2}
997.b.997.1,{3}
1012.a.4048.1,"{3, 5}"
1038.a.1038.2,"{2, 3}"
1038.a.1038.1,"{2, 3}"
